id,event_date,event_name,weight_class,winner,red_fighter,blue_fighter,red_height_cm,blue_height_cm,red_reach_cm,blue_reach_cm,red_age,blue_age,red_odds,blue_odds,red_avg_td_landed,blue_avg_td_landed,height_diff,reach_diff,avg_td_diff,red_win
52,2024-11-02,,Women's Flyweight,Red,Erin Blanchfield,Rose Namajunas,162.56,165.1,167.64,165.1,25,32,-155.0,130.0,1.86,1.46,-2.539999999999992,2.539999999999992,0.40000000000000013,1
53,2024-11-02,,Light Heavyweight,Blue,Caio Machado,Brendson Ribeiro,193.04,190.5,198.12,205.74,30,28,-192.0,160.0,0.0,1.27,2.539999999999992,-7.6200000000000045,-1.27,0
54,2024-11-02,,Women's Flyweight,Blue,Ariane da Silva,Jasmine Jasudavicius,167.64,170.18,170.18,172.72,30,35,190.0,-250.0,0.52,2.5,-2.5400000000000205,-2.539999999999992,-1.98,0
55,2024-11-02,,Middleweight,Blue,Marc-Andre Barriault,Dustin Stoltzfus,185.42,182.88,187.96,190.5,34,32,-270.0,220.0,0.21,2.31,2.539999999999992,-2.539999999999992,-2.1,0
56,2024-11-02,,Welterweight,Red,Mike Malott,Trevin Giles,185.42,182.88,185.42,187.96,32,32,-375.0,295.0,2.27,1.07,2.539999999999992,-2.5400000000000205,1.2,1
57,2024-11-02,,Bantamweight,Red,Aiemann Zahabi,Pedro Munhoz,172.72,167.64,172.72,165.1,36,38,,,0.16,0.48,5.0800000000000125,7.6200000000000045,-0.31999999999999995,1
58,2024-11-02,,Bantamweight,Red,Charles Jourdain,Victor Henry,175.26,170.18,175.26,172.72,28,37,,,0.34,0.84,5.079999999999984,2.539999999999992,-0.49999999999999994,1
59,2024-11-02,,Featherweight,Blue,Jack Shore,Youssef Zalal,172.72,177.8,180.34,182.88,29,28,,,3.22,2.34,-5.0800000000000125,-2.539999999999992,0.8800000000000003,0
60,2024-11-02,,Heavyweight,Red,Alexandr Romanov,Rodrigo Nascimento,187.96,187.96,190.5,203.2,33,31,,,4.49,1.02,0.0,-12.699999999999989,3.47,1
61,2024-11-02,,Bantamweight,Red,Serhiy Sidey,Garrett Armfield,180.34,167.64,182.88,177.8,28,28,,,0.0,1.1,12.700000000000017,5.079999999999984,-1.1,1
62,2024-11-02,,Bantamweight,Blue,Chad Anheliger,Cody Gibson,167.64,177.8,162.56,180.34,37,37,,,0.68,2.18,-10.160000000000025,-17.78,-1.5,0
63,2024-11-02,,Women's Flyweight,Red,Jamey-Lyn Horth,Ivana Petrovic,170.18,172.72,167.64,177.8,34,30,,,1.0,2.53,-2.539999999999992,-10.160000000000025,-1.5299999999999998,1
